Año,Id Política,Nombre Política,Id Programa,Nombre Programa,Presupuesto Gasto,Gasto Real
2011,24,Fomento del empleo,,,54210544.09,47913922.89
2011,24,Fomento del empleo,24108,Programa integrado de empleo,1189708.0,1203749.9
2011,24,Fomento del empleo,24102,Formación profesional para el empleo,2810259.0,2348227.36
2011,24,Fomento del empleo,24103,Políticas activas de empleo municipales,9539245.47,8168288.15
2011,24,Fomento del empleo,24100,Dirección y gestión administrativa de la Agencia de Empleo de Madrid,16396774.95,11349697.44
2011,24,Fomento del empleo,24101,Empleo,3391403.7,3410100.2
2011,24,Fomento del empleo,24106,Programas mixtos escuelas taller/es empleo,4741963.0,5319279.71
2011,24,Fomento del empleo,24107,Fomento del empleo para la corporación local,14857053.0,15383038.32
2011,24,Fomento del empleo,24104,Programa empleo de proximidad,561302.97,533861.06
2011,24,Fomento del empleo,24105,Fomento del empleo - U.E.,722834.0,197680.75
2011,13,Seguridad y movilidad ciudadana,,,710519615.45,708489668.82
2011,13,Seguridad y movilidad ciudadana,13201,Seguridad,367856712.21,372096092.91
2011,13,Seguridad y movilidad ciudadana,13302,Gestión de aparcamientos,70382167.0,69728292.62
2011,13,Seguridad y movilidad ciudadana,13610,Bomberos,91284836.31,91061245.34
2011,13,Seguridad y movilidad ciudadana,13301,Tráfico,67899944.91,64605658.46
2011,13,Seguridad y movilidad ciudadana,13402,Planificación de la movilidad,37811649.17,37164189.14
2011,13,Seguridad y movilidad ciudadana,13001,Coordinación general de seguridad y emergencias,5461263.04,5017392.0
2011,13,Seguridad y movilidad ciudadana,13000,"Dirección y gestión administrativa de Portavoz, Seguridad y Emergencias",23792442.92,23263106.0
2011,13,Seguridad y movilidad ciudadana,13510,SAMUR-Protección Civil,46030599.89,45553692.35
2011,01,Deuda pública,,,522993268.0,518065853.19
2011,01,Deuda pública,01111,Endeudamiento,522993268.0,518065853.19
2011,15,Vivienda y urbanismo,,,696715434.56,624781513.05
2011,15,Vivienda y urbanismo,15000,Dirección y gestión administrativa de Desarrollo Urbano,13185163.41,11663524.51
2011,15,Vivienda y urbanismo,15340,Infraestructuras urbanas,24282689.92,20125500.99
2011,15,Vivienda y urbanismo,15108,Revisión del Plan General de Ordenación Urbana de Madrid,1342766.07,2488489.35
2011,15,Vivienda y urbanismo,15109,Gestión de licencias de actividades,8113304.2,7950244.59
2011,15,Vivienda y urbanismo,15104,Estrategia urbana,1100731.95,532111.01
2011,15,Vivienda y urbanismo,15102,Gestión urbanística,101300798.02,71204931.05
2011,15,Vivienda y urbanismo,15103,Ejecución y control de la edificación,48840177.69,31483281.9
2011,15,Vivienda y urbanismo,15101,Planificación urbanística,8734809.11,8157445.4
2011,15,Vivienda y urbanismo,15322,Otras actuaciones en vías públicas,1738897.29,806869.07
2011,15,Vivienda y urbanismo,15321,Vías públicas,329351296.82,322891029.39
2011,15,Vivienda y urbanismo,15110,Programa refuerzo para tramitación de licencias,2187605.73,1771607.48
2011,15,Vivienda y urbanismo,15503,Proyectos singulares,78102942.72,74345602.59
2011,15,Vivienda y urbanismo,15500,Dirección y gestión administrativa de obras y espacios públicos,6958089.65,4818250.85
2011,15,Vivienda y urbanismo,15506,Evaluación urbana,2996877.95,1984240.3
2011,15,Vivienda y urbanismo,15507,Ingeniería ambiental urbana,1024507.44,1493703.49
2011,15,Vivienda y urbanismo,15505,Planificación urbana,1355385.64,822477.25
2011,15,Vivienda y urbanismo,15210,Promoción y gestión de vivienda,66099390.95,62242203.83
2011,22,Otras prestaciones económicas a favor de empleados,,,52219921.83,55089585.34
2011,22,Otras prestaciones económicas a favor de empleados,22101,Acción social para empleados,36028476.83,36022662.0
2011,22,Otras prestaciones económicas a favor de empleados,22102,Otras prestaciones,16191445.0,19066923.34
2011,17,Medio ambiente,,,244288518.89,209076462.14
2011,17,Medio ambiente,17101,Patrimonio verde,213216899.75,178676375.19
2011,17,Medio ambiente,17202,Sostenibilidad y Agenda 21,2928978.12,1893262.03
2011,17,Medio ambiente,17204,"Sostenibilidad, planificación y calidad ambiental",1482040.67,1791877.95
2011,17,Medio ambiente,17211,Sostenibilidad,1557452.52,2130127.94
2011,17,Medio ambiente,17212,Control ambiental,10286297.37,9282098.37
2011,17,Medio ambiente,17000,Dirección y gestión administrativa de Medio Ambiente y Movilidad,14816850.46,15302720.66
2011,49,Otras actuaciones de caracter económico,,,134011182.89,125222995.23
2011,49,Otras actuaciones de caracter económico,49101,Servicios informáticos y comunicaciones,93503305.26,85584053.82
2011,49,Otras actuaciones de caracter económico,4910A,Innovación y tecnología,22657173.46,22053129.49
2011,49,Otras actuaciones de caracter económico,49300,Consumo,17850704.17,17585811.92
2011,33,Cultura,,,194560790.54,188514122.24
2011,33,Cultura,33210,Bibliotecas públicas y patrimonio bibliográfico,23344904.09,22586931.87
2011,33,Cultura,33601,Patrimonio cultural,38512068.02,38855300.23
2011,33,Cultura,33301,Museos,7248674.84,6866655.71
2011,33,Cultura,33701,Instalaciones para la juventud,4332130.74,4060131.24
2011,33,Cultura,33000,"Dirección y gestión administrativa de Cultura, Turismo y Deporte",15347485.04,14324457.19
2011,33,Cultura,33402,Proyectos culturales,28264740.01,27460748.18
